Cardinal Electors(135),Age,Date ofBirth,gc_id
"Spengler, Jaime,O.F.M.(64),Cardinal-PriestofS. Gregorio Magno alla Magliana Nuova,Metropolitan ArchbishopofPorto Alegre(Brazil),PresidentofNational Conference of Bishops of BrazilandPresidentofLatin American Episcopal Council",64,1960.09.06,30
"Fernández Artime, Ángel,S.D.B.(64),Cardinal-DeaconofS. Maria Ausiliatrice in Via TuscolanaandPro-PrefectofDicastery for Institutes of Consecrated Life and for Societies of Apostolic Life",64,1960.08.21,31
"Rugambwa, Protase(64),Cardinal-PriestofS. Maria in MontesantoandMetropolitan ArchbishopofTabora(Tanzania)",64,1960.05.31,32
"Ambongo Besungu, Fridolin,O.F.M. Cap.(65),Cardinal-PriestofS. Gabriele Arcangelo all’Acqua Traversa,Metropolitan ArchbishopofKinshasa(Congo-Kinshasa),PresidentofSymposium of Episcopal Conferences of Africa and MadagascarandMemberofCouncil of Cardinals",65,1960.01.24,33
"da Rocha, Sérgio(65),Cardinal-PriestofS. Croce in Via Flaminia,Metropolitan ArchbishopofSão Salvador da Bahia(Brazil)andMemberofCouncil of Cardinals",65,1959.10.21,34
"Chow Sau-yan, Stephen,S.J.(周守仁)(65),Cardinal-PriestofS. Giovanni Battista de La SalleandBishopofHong Kong 香港(Hong Kong)",65,1959.08.07,35
"Sturla Berhouet, Daniel Fernando,S.D.B.(65),Cardinal-PriestofS. Galla,Metropolitan ArchbishopofMontevideo(Uruguay)andVice-PresidentofEpiscopal Conference of Uruguay",65,1959.07.04,36
"Thottunkal, Baselios Cleemis (Baselios Cleemis)(65)(Syro-Malankara Rite),Cardinal-PriestofS. Gregorio VII,Major ArchbishopofTrivandrumof theSyro-Malankara(India)andPresidentofSynod of the Syro-Malankara Church",65,1959.06.15,37
"David, Pablo Virgilio Siongco(66),Cardinal-PriestofTrasfigurazione di Nostro Signore Gesù Cristo,BishopofKalookan(Philippines),PresidentofCatholic Bishops’ Conference of the Philippines (C.B.C.P.)andVice-PresidentofFederation of Asian Bishops’ Conferences",66,1959.03.02,38
"Aveline, Jean-Marc Noël(66),Cardinal-PriestofS. Maria ai Monti,Metropolitan ArchbishopofMarseille(France)andPresidentofBishops’ Conference of France",66,1958.12.26,39
"Langlois, Chibly(66),Cardinal-PriestofS. Giacomo in AugustaandBishopofLes Cayes(Haiti)",66,1958.11.29,40
"Kambanda, Antoine(66),Cardinal-PriestofS. Sisto,Metropolitan ArchbishopofKigali(Rwanda)andPresidentofEpiscopal Conference of Rwanda",66,1958.11.10,41
"Kikuchi, Tarcisius Isao,S.V.D.(タルチシオ 菊地 功)(66),Cardinal-PriestofS. Giovanni Leonardi,Metropolitan ArchbishopofTokyo 東京(Japan),PresidentofCaritas Internationalis,PresidentofCatholic Bishops’ Conference of JapanandGeneral SecretaryofFederation of Asian Bishops’ Conferences",66,1958.11.01,42
"Rossi, Ángel Sixto,S.J.(66),Cardinal-PriestofS. Bernadette Soubirous,Metropolitan ArchbishopofCórdoba(Argentina)andVice-PresidentofEpiscopal Conference of Argentina",66,1958.08.11,43
"Hollerich, Jean-Claude,S.J.(66),Cardinal-PriestofS. Giovanni Crisostomo a Monte Sacro Alto,ArchbishopofLuxembourg(Luxembourg),MemberofCouncil of CardinalsandVice-PresidentofCouncil of European Bishops’ Conferences",66,1958.08.09,44
"Lacroix, Gérald Cyprien,I.S.P.X.(67),Cardinal-PriestofS. Giuseppe all’Aurelio,Metropolitan ArchbishopofQuébec(Canada),MemberofCouncil for the EconomyandMemberofCouncil of Cardinals",67,1957.07.27,45
"Goh Seng Chye, William (吳成才)(67),Cardinal-PriestofS. Maria «Regina Pacis» in Ostia mare,ArchbishopofSingapore(Singapore)andVice-PresidentofCatholic Bishops’ Conference of Malaysia, Singapore and Brunei",67,1957.06.25,46
"Tagle, Luis Antonio Gokim(67),Cardinal-BishopofS. Felice da Cantalice a Centocelle,PresidentofInterdicastery Commission for Consecrated Religious,Pro-Prefect for the Section of EvangelisationofDicastery for Evangelisation,MemberofCouncil of the Section for Relations with States and International Organisations,MemberofCommission of Cardinals overseeing the Institute for Works of ReligionandGrand ChancellorofPontifical Urbaniana University",67,1957.06.21,47
"Chomali Garib, Fernando Natalio(67),Cardinal-PriestofS. Mauro AbateandMetropolitan ArchbishopofSantiago(Chile)",67,1957.05.10,48
"Grech, Mario(68),Cardinal-DeaconofSs. Cosma e Damiano,Secretary GeneralofGeneral Secretariat of the SynodandBishopemeritus ofGozo(Malta)",68,1957.02.20,49
"Ribat, John,M.S.C.(68),Cardinal-PriestofS. Giovanni Battista de’ RossiandMetropolitan ArchbishopofPort Moresby(Papua New Guinea)",68,1957.02.09,50
"Brislin, Stephen(68),Cardinal-PriestofS. Maria Domenica Mazzarello,Metropolitan ArchbishopofJohannesburg(South Africa),PresidentofSouthern African Catholic Bishops’ ConferenceandApostolic AdministratorofCape Town(South Africa)",68,1956.09.24,51
"Német, Ladislav,S.V.D.(68),Cardinal-PriestofS. Maria Stella Maris,Metropolitan ArchbishopofBeograd(Serbia),PresidentofInternational Episcopal Conference of Saints Cyril and MethodiusandVice-PresidentofCouncil of European Bishops’ Conferences",68,1956.09.07,52
"Woelki, Rainer Maria(68),Cardinal-PriestofS. Giovanni Maria VianneyandMetropolitan ArchbishopofKöln(Germany)",68,1956.08.18,53
"Zuppi, Matteo Maria(69),Cardinal-PriestofS. Egidio in Trastevere,Metropolitan ArchbishopofBologna(Italy)andPresidentofEpiscopal Conference of Italy",69,1955.10.11,54
"Cabrera Herrera, Luis Gerardo,O.F.M.(69),Cardinal-PriestofSanta Famiglia di Nazareth a Centocelle,Metropolitan ArchbishopofGuayaquil(Ecuador)andPresidentofEpiscopal Conference of Ecuador",69,1955.10.11,55
"Gugerotti, Claudio(69),Cardinal-DeaconofS. Ambrogio della Massima,PrefectofDicastery for the Eastern Churches,MemberofCouncil of the Section for Relations with States and International OrganisationsandGrand ChancellorofPontifical Oriental Institute",69,1955.10.07,56
"Prevost, Robert Francis,O.S.A.(69),Cardinal-BishopofAlbano,PrefectofDicastery for BishopsandPresidentofPontifical Commission for Latin America",69,1955.09.14,57
"Parolin, Pietro(70),Cardinal-BishopofSs. Simone e Giuda Taddeo a Torre Angela,Secretary of StateofSecretariat of State,PresidentofInterdicastery Commission for the Church in Eastern Europe,PresidentofInterdicastery Commission on Particular Churches,PresidentofCouncil of the Section for Relations with States and International Organisations,PresidentofPontifical Commission for the Activities of Public Juridical Persons of the Church in the Healthcare Sector,MemberofCouncil of CardinalsandCardinal ProtectorofPontifical Ecclesiastical Academy",70,1955.01.17,58
"Tsarahazana, Désiré(70),Cardinal-PriestofS. Gregorio Barbarigo alle Tre FontaneandMetropolitan ArchbishopofToamasina(Madagascar)",70,1954.06.13,59
"McElroy, Robert Walter(71),Cardinal-PriestofS. Frumenzio ai Prati FiscaliandMetropolitan ArchbishopofWashington(USA)",71,1954.02.05,60
"De Donatis, Angelo(71),Cardinal-PriestofS. MarcoandMajor PenitentiaryofApostolic Penitentiary",71,1954.01.04,61
"Marx, Reinhard(71),Cardinal-PriestofS. Corbiniano,Metropolitan ArchbishopofMünchen und Freising(Germany)andCoordinatorofCouncil for the Economy",71,1953.09.21,62
"Eijk, Willem Jacobus(71),Cardinal-PriestofS. CallistoandMetropolitan ArchbishopofUtrecht(Netherlands)",71,1953.06.22,63
"Ferrão, Filipe Neri António Sebastião do Rosário(72),Cardinal-PriestofS. Maria in Via,PatriarchofEast Indies,Metropolitan ArchbishopofGoa and Daman(India),PresidentofConference of Catholic Bishops of IndiaandPresidentofFederation of Asian Bishops’ Conferences",72,1953.01.20,64
"Erdő, Péter(72),Cardinal-PriestofS. Maria Nuova,Metropolitan ArchbishopofEsztergom–Budapest(Hungary)andMemberofCouncil for the Economy",72,1952.06.25,65
"Bokalic Iglic, Vicente,C.M.(72),Cardinal-PriestofS. Maria Maddalena in Campo MarzioandArchbishopofSantiago del Estero(Argentina)",72,1952.06.11,66
"López Romero, Cristóbal,S.D.B.(72),Cardinal-PriestofS. Leone IandArchbishopofRabat(Morocco)",72,1952.05.19,67
"Tobin, Joseph William,C.SS.R.(73),Cardinal-PriestofS. Maria delle Grazie a Via Trionfale,Metropolitan ArchbishopofNewark(USA),Ecclesiastical SuperiorofTurks and Caicos Islands(Turks and Caicos Islands)andMemberofCouncil for the Economy",73,1952.05.03,68
"Advincula, Jose Fuerte(73),Cardinal-PriestofS. VigilioandMetropolitan ArchbishopofManila(Philippines)",73,1952.03.30,69
"Mamberti, Dominique François Joseph(73),Cardinal-DeaconofS. Spirito in Sassia,PrefectofSupreme Tribunal of the Apostolic Signatura,PresidentofCommission for AdvocatesandProtodeaconofCollege of Cardinals",73,1952.03.07,70
"You Heung-sik, Lazzaro (유흥식 라자로 / 俞興植)(73),Cardinal-DeaconofGesù Buon Pastore alla Montagnola,PrefectofDicastery for the Clergy,PresidentofInterdicastery Commission for Candidates to Sacred Order,PresidentofPontifical Work for Ecclesiastical VocationsandBishopemeritus ofDaejeon 대전(South Korea)",73,1951.11.17,71
"Francis, Sebastian (施恩天)(73),Cardinal-PriestofS. Maria Causa Nostræ LætitiæandBishopofPenang(Malaysia)",73,1951.11.11,72
"Martínez Flores, Adalberto(73),Cardinal-PriestofS. Giovanni a Porta Latina,Metropolitan ArchbishopofAsunción(Paraguay)andApostolic Administrator of the Military OrdinariateofParaguay(Paraguay)",73,1951.07.08,73
"Steiner, Leonardo Ulrich,O.F.M.(74),Cardinal-PriestofS. Leonardo da Porto Maurizio,Metropolitan ArchbishopofManaus(Brazil)andFirst Vice-PresidentofEcclesial Conference of the Amazon (CEAMA)",74,1950.11.06,74
"Barbarin, Philippe Christian Ignace Marie(74),Cardinal-PriestofSS. Trinità al Monte PincioandMetropolitan Archbishopemeritus ofLyon(France)",74,1950.10.17,75
"Cantoni, Oscar(74),Cardinal-PriestofS. Maria «Regina Pacis» a Monte VerdeandBishopofComo(Italy)",74,1950.09.01,76
"Suharyo Hardjoatmodjo, Ignatius(74),Cardinal-PriestofSpirito Santo alla Ferratella,Metropolitan ArchbishopofJakarta(Indonesia)andMilitary OrdinaryofIndonesia(Indonesia)",74,1950.07.09,77
"Tempesta, Orani João,O. Cist.(74),Cardinal-PriestofS. Maria Madre della Provvidenza a Monte VerdeandMetropolitan ArchbishopofSão Sebastião do Rio de Janeiro(Brazil)",74,1950.06.23,78
"Koch, Kurt(75),Cardinal-PriestofNostra Signora del Sacro Cuorepro hac viceTitle,PrefectofDicastery for Promoting Christian Unity,PresidentofCommission for Religious Relations with the JewsandBishopemeritus ofBasel(Switzerland)",75,1950.03.15,79
"Roche, Arthur(75),Cardinal-DeaconofS. Saba,PrefectofDicastery for Divine Worship and the Discipline of the SacramentsandBishopemeritus ofLeeds(England)",75,1950.03.06,80
"Castillo Mattasoglio, Carlos Gustavo(75),Cardinal-PriestofS. Maria delle Grazie a Casal BocconeandMetropolitan ArchbishopofLima(Peru)",75,1950.02.28,81
"Dolan, Timothy Michael(75),Cardinal-PriestofNostra Signora di Guadalupe a Monte MarioandMetropolitan ArchbishopofNew York(USA)",75,1950.02.06,82
