Birthdate,Age,Elevated,Name,Current Title,ProfileLink,ch_id
5 Feb1954,71.2,27 Aug 2022,Robert WalterCardinalMcElroy,"Archbishop ofWashington, District of Columbia,USA",https://www.catholic-hierarchy.org/bishop/bmcelroy.html,78
15 Dec1965,59.3,5 Oct 2019,José TolentinoCardinalCalaça de Mendonça,"Prefect Emeritus of the Dicastery forCulture and Education, of Portugal,",https://www.catholic-hierarchy.org/bishop/bmendjtc.html,79
22 May1946,78.9,14 Feb 2015,FrancescoCardinalMontenegro,"Archbishop Emeritus ofAgrigento,Italy",https://www.catholic-hierarchy.org/bishop/bmonf.html,80
10 Jan1964,61.2,30 Sep 2023,Stephen Ameyu MartinCardinalMulla,"Archbishop ofJuba,South Sudan",https://www.catholic-hierarchy.org/bishop/bamm.html,81
31 Dec1947,77.3,22 Feb 2014,Gerhard LudwigCardinalMüller,Prefect Emeritus of the Congregation for theDoctrine of the Faith,https://www.catholic-hierarchy.org/bishop/bmullergl.html,82
7 Sep1956,68.6,7 Dec 2024,LadislavCardinalNemet,"Archbishop ofBeograd (-Smederevo),Serbia",https://www.catholic-hierarchy.org/bishop/bnemet.html,83
8 Nov1945,79.4,22 Feb 2014,Vincent GerardCardinalNichols,"Archbishop ofWestminster, England,Great Britain",https://www.catholic-hierarchy.org/bishop/bnichols.html,84
1 Jan1946,79.3,24 Nov 2007,JohnCardinalNjue,"Archbishop Emeritus ofNairobi,Kenya",https://www.catholic-hierarchy.org/bishop/bnjue.html,85
1 Feb1950,75.2,20 Nov 2010,KazimierzCardinalNycz,"Archbishop Emeritus ofWarszawa {Warsaw},Poland",https://www.catholic-hierarchy.org/bishop/bnycz.html,86
14 Mar1967,58.1,19 Nov 2016,DieudonnéCardinalNzapalainga,"Archbishop ofBangui,Central African Republic",https://www.catholic-hierarchy.org/bishop/bnzap.html,87
1 Mar1963,62.1,27 Aug 2022,Peter EbereCardinalOkpaleke,"Bishop ofEkwulobia,Nigeria",https://www.catholic-hierarchy.org/bishop/bokpal.html,88
21 Apr1946,79.0,28 Jun 2017,Juan JoséCardinalOmella Omella,"Archbishop ofBarcelona,Spain",https://www.catholic-hierarchy.org/bishop/bomel.html,89
16 May1945,79.9,19 Nov 2016,CarlosCardinalOsoro Sierra,"Archbishop Emeritus ofMadrid,Spain",https://www.catholic-hierarchy.org/bishop/bossi.html,90
31 Dec1945,79.3,22 Feb 2014,Philippe NakellentubaCardinalOuédraogo,"Archbishop Emeritus ofOuagadougou,Burkina Faso",https://www.catholic-hierarchy.org/bishop/bouep.html,91
17 Jan1955,70.2,22 Feb 2014,PietroCardinalParolin,Secretary Emeritus of the Secretariat ofState,https://www.catholic-hierarchy.org/bishop/bparolin.html,92
15 Nov1947,77.4,20 Nov 2010,Albert Malcolm RanjithCardinalPatabendige Don,"Archbishop ofColombo,Sri Lanka",https://www.catholic-hierarchy.org/bishop/branjith.html,93
19 Aug1948,76.6,28 Jun 2018,GiuseppeCardinalPetrocchi,"Archbishop Emeritus ofL’Aquila,Italy",https://www.catholic-hierarchy.org/bishop/bpetg.html,94
30 Jan1946,79.2,30 Sep 2023,Christophe Louis Yves GeorgesCardinalPierre,Apostolic Nuncio toUnited States of America,https://www.catholic-hierarchy.org/bishop/bpierre.html,95
21 Apr1965,60.0,30 Sep 2023,PierbattistaCardinalPizzaballa,"Patriarch ofJerusalem {Gerusalemme},Palestine",https://www.catholic-hierarchy.org/bishop/bpizzab.html,96
29 Nov1947,77.4,22 Feb 2014,Mario AurelioCardinalPoli,"Archbishop Emeritus ofBuenos Aires,Argentina",https://www.catholic-hierarchy.org/bishop/bpoli.html,97
15 Nov1961,63.4,27 Aug 2022,AnthonyCardinalPoola,"Archbishop ofHyderabad,India",https://www.catholic-hierarchy.org/bishop/bpoola.html,98
14 Sep1955,69.6,30 Sep 2023,Robert FrancisCardinalPrevost,Prefect Emeritus of the Dicastery forBishops,https://www.catholic-hierarchy.org/bishop/bprevost.html,99
8 Sep1945,79.6,26 Nov 1994,VinkoCardinalPuljić,"Archbishop Emeritus ofVrhbosna {Sarajevo},Bosnia and Herzegovina",https://www.catholic-hierarchy.org/bishop/bpuljic.html,100
22 Aug1945,79.6,7 Dec 2024,Timothy Peter JosephCardinalRadcliffe,Cardinal-Deacon ofSantissimi Nomi di Gesù e Maria in Via Lata,https://www.catholic-hierarchy.org/bishop/bradcli.html,101
16 Jul1947,77.7,5 Oct 2019,Alvaro LeonelCardinalRamazzini Imeri,"Bishop ofHuehuetenango,Guatemala",https://www.catholic-hierarchy.org/bishop/bramaa.html,102
26 Nov1970,54.4,7 Dec 2024,BaldassareCardinalReina,"Vicar General ofRoma {Rome},Italy",https://www.catholic-hierarchy.org/bishop/breinab.html,103
29 Jan1967,58.2,7 Dec 2024,RobertoCardinalRepole,"Archbishop ofTorino {Turin},Italy",https://www.catholic-hierarchy.org/bishop/brepole.html,104
9 Feb1957,68.2,19 Nov 2016,JohnCardinalRibat,"Archbishop ofPort Moresby,Papua New Guinea",https://www.catholic-hierarchy.org/bishop/bribat.html,105
2 Mar1949,76.1,24 Nov 2007,José FranciscoCardinalRobles Ortega,"Archbishop ofGuadalajara, Jalisco,México",https://www.catholic-hierarchy.org/bishop/brobleso.html,106
21 Oct1959,65.5,19 Nov 2016,SérgioCardinalda Rocha,"Archbishop ofSão Salvador da Bahia,Brazil",https://www.catholic-hierarchy.org/bishop/bdarocha.html,107
6 Mar1950,75.1,27 Aug 2022,ArthurCardinalRoche,Prefect Emeritus of the Dicastery forDivine Worship and the Discipline of the Sacraments,https://www.catholic-hierarchy.org/bishop/brochea.html,108
11 Aug1958,66.7,30 Sep 2023,Ángel SixtoCardinalRossi,"Archbishop ofCórdoba,Argentina",https://www.catholic-hierarchy.org/bishop/brossias.html,109
3 Mar1962,63.1,30 Sep 2023,Luis JoséCardinalRueda Aparicio,"Archbishop ofBogotá,Colombia",https://www.catholic-hierarchy.org/bishop/bruap.html,110
31 May1960,64.9,30 Sep 2023,ProtaseCardinalRugambwa,"Archbishop ofTabora,Tanzania",https://www.catholic-hierarchy.org/bishop/brugam.html,111
4 Jul1945,79.8,24 Nov 2007,StanisławCardinalRyłko,Archpriest of theBasilica di Santa Maria Maggiore {Saint Mary Major Basilica},https://www.catholic-hierarchy.org/bishop/brylko.html,112
9 Feb1964,61.2,30 Sep 2023,Grzegorz WojciechCardinalRyś,"Archbishop ofŁódź,Poland",https://www.catholic-hierarchy.org/bishop/brys.html,113
4 Jul1949,75.8,28 Jun 2018,Louis Raphaël ICardinalSako,"Patriarch ofBaghdad (Chaldean),Iraq",https://www.catholic-hierarchy.org/bishop/bsako.html,114
15 Jun1945,79.8,20 Nov 2010,RobertCardinalSarah,Prefect Emeritus of the Congregation forDivine Worship and the Discipline of the Sacraments,https://www.catholic-hierarchy.org/bishop/bsarahr.html,115
21 Sep1949,75.6,24 Nov 2007,Odilo PedroCardinalScherer,"Archbishop ofSão Paulo,Brazil",https://www.catholic-hierarchy.org/bishop/bscherero.html,116
22 Dec1947,77.3,28 Nov 2020,MarcelloCardinalSemeraro,Prefect Emeritus of the Dicastery for theCauses of Saints,https://www.catholic-hierarchy.org/bishop/bsemeraro.html,117
14 Jul1948,76.7,14 Feb 2015,Berhaneyesus DemerewCardinalSouraphiel,"Archbishop ofAddis Abeba (Ethiopian),Ethiopia",https://www.catholic-hierarchy.org/bishop/bsou.html,118
6 Sep1960,64.6,7 Dec 2024,JaimeCardinalSpengler,"Archbishop ofPorto Alegre, Rio Grande do Sul,Brazil",https://www.catholic-hierarchy.org/bishop/bspengler.html,119
6 Nov1950,74.4,27 Aug 2022,Leonardo UlrichCardinalSteiner,"Archbishop ofManaus, Amazonas,Brazil",https://www.catholic-hierarchy.org/bishop/bulst.html,120
4 Jul1959,65.8,14 Feb 2015,Daniel FernandoCardinalSturla Berhouet,"Archbishop ofMontevideo,Uruguay",https://www.catholic-hierarchy.org/bishop/bstbe.html,121
9 Jul1950,74.8,5 Oct 2019,IgnatiusCardinalSuharyo Hardjoatmodjo,"Archbishop ofJakarta,Indonesia",https://www.catholic-hierarchy.org/bishop/bsuharyo.html,122
21 Jun1957,67.8,24 Nov 2012,Luis Antonio GokimCardinalTagle,Pro-Prefect Emeritus of the Dicastery forEvangelization,https://www.catholic-hierarchy.org/bishop/btaglelag.html,123
23 Jun1950,74.8,22 Feb 2014,Orani JoãoCardinalTempesta,"Archbishop ofSão Sebastião do Rio de Janeiro,Brazil",https://www.catholic-hierarchy.org/bishop/btempesta.html,124
15 Jun1959,65.8,24 Nov 2012,Baselios Cleemis (Isaac)CardinalThottunkal,"Major Archbishop ofTrivandrum (Syro-Malankara),India",https://www.catholic-hierarchy.org/bishop/bthoi.html,125
3 May1952,72.9,19 Nov 2016,Joseph WilliamCardinalTobin,"Archbishop ofNewark, New Jersey,USA",https://www.catholic-hierarchy.org/bishop/btobinj.html,126
13 Jun1954,70.8,28 Jun 2018,DésiréCardinalTsarahazana,"Archbishop ofToamasina,Madagascar",https://www.catholic-hierarchy.org/bishop/btsar.html,127
3 Feb1947,78.2,30 Sep 2023,Emil PaulCardinalTscherrig,Apostolic Nuncio,https://www.catholic-hierarchy.org/bishop/btsce.html,128
11 Oct1948,76.5,21 Oct 2003,Peter Kodwo AppiahCardinalTurkson,Chancellor of theRoman Curia - Other,https://www.catholic-hierarchy.org/bishop/bturkson.html,129
10 Mar1962,63.1,7 Dec 2024,Jean-PaulCardinalVesco,"Archbishop ofAlger,Algeria",https://www.catholic-hierarchy.org/bishop/bvesco.html,130
18 Aug1956,68.6,18 Feb 2012,Rainer MariaCardinalWoelki,"Archbishop ofKöln {Cologne},Germany",https://www.catholic-hierarchy.org/bishop/bwoel.html,131
17 Nov1951,73.4,27 Aug 2022,LazzaroCardinalYou Heung-sik,Prefect Emeritus of the Dicastery for theClergy,https://www.catholic-hierarchy.org/bishop/byouh.html,132
5 Jan1946,79.3,19 Nov 2016,MarioCardinalZenari,Apostolic Nuncio toSyria,https://www.catholic-hierarchy.org/bishop/bzenari.html,133
11 Oct1955,69.5,5 Oct 2019,Matteo MariaCardinalZuppi,"Archbishop ofBologna,Italy",https://www.catholic-hierarchy.org/bishop/bzuppi.html,134
